date,time,open,high,low,close,volume
20260310,2313,314.89,314.9,314.88,314.9,2028
20260310,2314,314.9,314.9,314.88,314.88,686
20260310,2315,314.88,314.95,314.86,314.95,18893
20260310,2316,314.95,314.96,314.93,314.93,1630
20260310,2317,314.94,314.94,314.93,314.93,1659
20260310,2318,314.92,314.95,314.92,314.94,6167
20260310,2319,314.94,314.94,314.93,314.94,4157
20260310,2320,314.93,314.95,314.93,314.95,1805
20260310,2321,314.95,314.95,314.94,314.94,2681
20260310,2322,314.94,314.95,314.9,314.92,3017
20260310,2323,314.9,314.93,314.9,314.92,2191
20260310,2324,314.93,314.93,314.91,314.92,280
20260310,2325,314.91,314.92,314.83,314.84,20848
20260310,2326,314.84,314.84,314.83,314.83,4650
20260310,2327,314.84,314.9,314.83,314.88,7726
20260310,2328,314.88,314.88,314.84,314.86,4015
20260310,2329,314.85,314.86,314.8,314.8,12281
20260310,2330,314.82,314.85,314.77,314.77,26065
20260310,2331,314.78,314.79,314.77,314.78,7228
20260310,2332,314.77,314.78,314.77,314.78,1424
20260310,2333,314.77,314.78,314.77,314.78,5284
20260310,2334,314.77,314.78,314.77,314.78,12478
20260310,2335,314.78,314.79,314.77,314.79,5096
20260310,2336,314.78,314.83,314.78,314.8,22121
20260310,2337,314.8,314.85,314.77,314.84,11257
20260310,2338,314.84,314.84,314.77,314.77,8216
20260310,2339,314.77,314.84,314.77,314.8,5527
20260310,2340,314.8,314.84,314.78,314.8,4225
20260310,2341,314.78,314.8,314.78,314.8,3147
20260310,2342,314.83,314.83,314.79,314.81,2446
20260310,2343,314.83,314.84,314.77,314.77,8532
20260310,2344,314.8,314.85,314.8,314.85,2698
20260310,2345,314.85,314.87,314.8,314.85,2898
20260310,2346,314.85,314.9,314.85,314.88,11926
20260310,2347,314.86,314.86,314.8,314.81,1645
20260310,2348,314.84,314.88,314.81,314.84,10495
20260310,2349,314.84,314.85,314.77,314.8,6205
20260311,0659,315.47,315.47,315.47,315.47,4945
20260311,0700,315.45,318.2,315.02,315.73,381645
20260311,0701,315.58,315.73,315.47,315.61,33610
