date,open,high,low,close,volume
20170821,169.77,182.25,168.5,180.51,277434370
20170828,180.6,186.33,179.2,183.66,221267890
20170904,181.51,187.43,180.93,185.89,199936950
20170911,186.7,192.31,186.0,188.75,242866550
20170918,189.56,190.37,182.65,187.55,199945170
20170925,187.37,195.0,186.37,192.33,266726960
20171002,192.76,196.42,189.06,194.16,193015170
20171009,194.2,197.29,192.58,196.48,168899220
20171016,197.53,198.52,191.81,192.97,166128530
20171023,193.41,196.18,190.13,196.05,159946690
20171030,196.32,197.7,192.38,193.8,162235960
20171106,196.5,229.4,195.56,217.7,483688180
20171113,217.7,228.58,215.78,225.65,292883780
20171120,225.7,233.95,222.15,228.0,227776590
20171127,228.4,231.5,220.76,221.5,185375380
20171204,222.0,226.0,219.23,220.89,162731230
20171211,221.4,230.5,220.54,226.53,234017560
20171218,227.49,228.9,221.12,221.44,149985050
20171225,222.22,227.2,221.0,225.2,96586820
20180101,226.88,239.95,226.35,238.6,119727330
20180108,239.03,243.76,235.21,237.75,166507540
20180115,239.0,246.69,236.01,242.45,184832810
20180122,242.97,251.65,241.41,247.0,190484480
20180129,247.5,270.3,246.0,257.32,316214960
20180205,254.85,264.37,244.13,250.11,304733120
20180212,253.0,268.77,251.67,266.99,258832410
20180219,267.0,279.5,264.72,277.49,170047290
20180226,279.0,285.0,268.56,273.0,245760910
20180305,273.7,281.5,270.15,274.6,151065240
20180312,276.05,277.3,249.76,256.15,290059220
20180319,257.8,271.8,250.01,262.0,277214050
20180326,262.0,264.87,250.75,253.57,190358620
20180402,253.58,262.89,245.38,256.76,244330490
20180409,255.05,255.3,197.0,204.7,922907440
20180416,199.36,222.22,191.5,215.36,735054470
20180423,216.48,228.43,213.22,224.8,436116690
20180430,224.5,232.74,221.58,228.55,207165160
20180507,230.17,237.95,224.5,235.72,220523880
20180514,236.21,237.8,222.2,222.2,261732400
20180521,223.79,227.27,219.0,220.0,218466160
20180528,219.47,224.35,217.1,220.0,210702420
20180604,221.13,222.67,210.25,212.6,226106840
20180611,212.5,217.49,207.9,209.36,205881870
20180618,209.0,215.0,202.11,214.43,299674360
20180625,204.5,218.3,198.55,218.0,315984730
20180702,217.01,227.59,216.0,226.71,222878010
20180709,228.5,232.25,224.8,229.85,231710630
20180716,230.1,231.0,201.1,204.34,379398330
20180723,205.4,216.51,205.25,208.9,304669400
20180730,207.77,215.2,202.0,202.21,263580670
20180806,201.8,207.95,182.06,186.15,529288330
20180813,182.05,195.98,180.15,189.55,367106550
20180820,190.99,193.99,172.8,180.39,437100660
20180827,181.47,185.57,175.61,182.0,270716550
20180903,181.72,182.87,173.85,174.9,250527130
20180910,175.03,189.04,165.9,188.71,587404010
20180917,190.0,197.73,186.51,193.44,453879050
20180924,194.6,205.67,193.59,203.32,431220610
20181001,204.5,205.98,185.05,187.2,401428000
20181008,187.0,196.04,182.3,191.85,424418420
20181015,192.5,198.8,183.8,183.8,343654980
20181022,184.86,189.25,177.02,181.0,450552890
20181029,180.6,192.98,178.64,192.6,336399850
20181105,194.5,204.7,193.73,195.75,355373930
20181112,197.97,203.5,193.18,199.26,372882720
20181119,198.98,200.7,191.81,197.3,276142380
20181126,197.5,197.79,185.53,194.0,416255450
20181203,197.99,201.9,190.11,195.01,318162900
20181210,192.75,193.92,183.73,184.93,284493370
20181217,184.63,191.82,180.37,186.79,350928790
20181224,186.1,187.4,179.04,186.3,193975710
20181231,186.37,191.5,186.0,190.99,72832550
20190107,191.65,198.96,190.37,196.8,229754300
20190114,195.7,208.44,194.0,208.44,294785180
20190121,208.91,214.14,205.63,212.0,324031980
20190128,212.0,218.7,206.91,216.29,315677210
20190204,216.25,218.55,208.7,210.43,254819520
20190211,211.0,220.7,201.7,208.0,443654570
20190218,208.83,209.73,201.1,205.25,324104170
20190225,205.5,209.0,202.9,206.54,284351400
20190304,207.0,207.5,202.25,203.95,177103990
20190311,203.2,206.89,202.56,203.55,193146730
20190318,204.25,212.29,204.11,207.7,260640190
20190325,206.63,219.25,205.55,214.42,394953330
20190401,215.05,227.7,215.01,227.5,323788770
20190408,227.93,247.23,227.9,239.5,519300670
20190415,240.35,242.3,230.84,232.6,272588190
20190422,233.7,237.56,222.08,223.18,339713050
20190429,223.7,233.0,223.05,232.52,196467050
20190506,228.75,234.34,226.11,227.0,181713000
20190513,226.51,231.45,224.15,226.94,253468100
20190520,228.23,237.4,225.1,234.45,266139430
20190527,235.28,237.47,229.21,233.24,243682380
20190603,231.18,249.0,230.35,248.28,337168150
20190610,249.55,250.65,232.55,238.8,256303920
20190617,239.0,244.99,236.36,238.02,241969560
20190624,239.06,242.44,234.2,238.55,187563350
20190701,240.98,243.9,239.7,242.83,165261130
20190708,242.13,245.5,236.37,237.02,177457950
20190715,237.9,238.59,232.25,232.85,172586260
20190722,233.0,234.65,228.52,230.55,160675280
20190729,230.75,237.55,220.3,220.81,254907910
20190805,219.72,227.6,219.45,220.67,210418190
20190812,222.38,225.75,212.88,215.05,234320330
20190819,217.0,223.1,214.06,219.5,218294470
20190826,217.5,225.2,215.61,224.2,210987040
20190902,224.1,231.2,222.05,229.02,218009050
20190909,229.88,235.9,227.1,233.0,187207030
20190916,235.0,237.2,230.72,232.0,201025950
20190923,231.7,232.17,225.3,228.05,160386850
20190930,228.5,229.56,221.87,222.76,173139040
20191007,223.13,231.2,222.41,230.31,180103460
20191014,230.29,236.03,227.0,235.55,193343400
